Species,Area(DBH)
Prestoea acuminata,1254816.4
Dacryodes excelsa,372475.9
Manilkara bidentata,232603.4
Casearia arborea,207148.3
Cecropia schreberiana,182904.5
Sloanea berteroana,160324.7
Schefflera morototoni,106446
Inga laurina,105122.5
Guarea guidonia,101399.1
Buchenavia tetraphylla,83922.4
Homalium racemosum,54151.6
Tetragastris balsamifera,48738.4
Casearia sylvestris,42634
Matayba domingensis,41173
Tabebuia heterophylla,40735.1
Alchornea latifolia,39465.9
Byrsonima spicata,35297
Ocotea leucoxylon,30322.8
Hirtella rugosa,27855.2
Trichilia pallida,24041.1
Alchorneopsis floribunda,21444.6
Andira inermis,20653.6
Drypetes glauca,20310.7
Cordia sulcata,20057.1
Guatteria caribaea,18599.2
Laetia procera,18344.3
Eugenia stahlii,16019.8
Roystonea borinquena,15457
Cordia borinquensis,15425.5
Guettarda valenzuelana,13983.5
Calophyllum brasiliense,11567.8
Faramea occidentalis,11197.5
Ixora ferrea,10930.4
Psychotria berteroana,10832.5
Dendropanax arboreus,10482.6
Coccoloba swartzii,9922.9
Ormosia krugii,9908.8
Pseudolmedia spuria,9791.9
Ficus trigonata,9685.8
Sapium laurocerasus,9665.4
Inga vera,9379.2
Croton poecilanthus,8096.5
Myrcia deflexa,7785.3
Myrcia amazonica,6968.3
Miconia tetrandra,6352.9
Syzygium jambos,6083.8
Miconia prasina,5888.9
Margaritaria nobilis,5769.2
Myrcia splendens,5750.1
Zanthoxylum martinicense,5553.7
Nectandra turbacensis,5265.5
Guarea glabra,5173.4
Meliosma herbertii,4588.6
Ardisia glauciflora,4443.9
Psychotria brachiata,4440.9
Cassipourea guianensis,4291.5
Coccoloba pyrifolia,3512.6
Cyrilla racemiflora,3083
Byrsonima wadsworthii,2851.5
Micropholis garciniifolia,2800.1
Mangifera indica,2539
Samyda spinulosa,2248.7
Garcinia portoricensis,2043.2
Oxandra laurifolia,2016.2
Eugenia domingensis,1840.5
